Time,Extension,Load
(s),(mm),(kN)
"0.00000","0.00000","0.01617"
"0.10000","0.00253","0.01795"
"0.20000","0.00722","0.02450"
"0.30000","0.01181","0.03086"
"0.40000","0.01621","0.03713"
"0.50000","0.02071","0.04272"
"0.60000","0.02511","0.04864"
"0.70000","0.02942","0.05387"
"0.80000","0.03373","0.05807"
"0.90000","0.03814","0.06152"
"1.00000","0.04236","0.06438"
"1.10000","0.04648","0.06690"
"1.20000","0.05088","0.06836"
"1.30000","0.05510","0.07006"
"1.40000","0.05932","0.07132"
"1.50000","0.06363","0.07196"
"1.60000","0.06794","0.07248"
"1.70000","0.07206","0.07300"
"1.80000","0.07628","0.07311"
"1.90000","0.08059","0.07308"
"2.00000","0.08471","0.07330"
"2.10000","0.08893","0.07333"
"2.20000","0.09324","0.07348"
"2.30000","0.09745","0.07386"
"2.40000","0.10158","0.07383"
"2.50000","0.10579","0.07388"
"2.60000","0.11020","0.07427"
"2.70000","0.11432","0.07394"
"2.80000","0.11854","0.07409"
"2.90000","0.12285","0.07407"
"3.00000","0.12707","0.07409"
"3.10000","0.13119","0.07431"
"3.20000","0.13550","0.07435"
"3.30000","0.13972","0.07451"
"3.40000","0.14393","0.07457"
"3.50000","0.14815","0.07452"
"3.60000","0.15255","0.07475"
"3.70000","0.15658","0.07462"
"3.80000","0.16089","0.07478"
"3.90000","0.16511","0.07502"
"4.00000","0.16942","0.07502"
"4.10000","0.17354","0.07494"
"4.20000","0.17795","0.07471"
"4.30000","0.18226","0.07491"
"4.40000","0.18629","0.07505"
"4.50000","0.19051","0.07492"
"4.60000","0.19491","0.07497"
"4.70000","0.19903","0.07520"
"4.80000","0.20325","0.07530"
"4.90000","0.20747","0.07535"
"5.00000","0.21178","0.07545"
"5.10000","0.21590","0.07528"
"5.20000","0.22012","0.07538"
"5.30000","0.22443","0.07535"
"5.40000","0.22864","0.07557"
"5.50000","0.23286","0.07562"
"5.60000","0.23717","0.07561"
"5.70000","0.24148","0.07585"
"5.80000","0.24551","0.07601"
"5.90000","0.24982","0.07573"
"6.00000","0.25413","0.07603"
"6.10000","0.25826","0.07603"
"6.20000","0.26247","0.07593"
"6.30000","0.26678","0.07616"
"6.40000","0.27100","0.07629"
"6.50000","0.27512","0.07623"
"6.60000","0.27953","0.07643"
"6.70000","0.28374","0.07663"
"6.80000","0.28787","0.07658"
"6.90000","0.29208","0.07665"
"7.00000","0.29639","0.07697"
"7.10000","0.30052","0.07711"
"7.20000","0.30473","0.07747"
"7.30000","0.30904","0.07770"
"7.40000","0.31326","0.07791"
"7.50000","0.31738","0.07810"
"7.60000","0.32179","0.07815"
"7.70000","0.32601","0.07864"
"7.80000","0.33022","0.07919"
"7.90000","0.33444","0.08003"
"8.00000","0.33875","0.08162"
"8.10000","0.34297","0.08277"
"8.20000","0.34718","0.08432"
"8.30000","0.35149","0.08634"
"8.40000","0.35571","0.08880"
"8.50000","0.35974","0.09165"
"8.60000","0.36414","0.09659"
"8.70000","0.36845","0.10197"
"8.80000","0.37258","0.10736"
"8.90000","0.37679","0.11285"
"9.00000","0.38110","0.11804"
"9.10000","0.38532","0.12332"
"9.20000","0.38944","0.12906"
"9.30000","0.39376","0.13431"
"9.40000","0.39807","0.13951"
"9.50000","0.40219","0.14477"
"9.60000","0.40650","0.15022"
"9.70000","0.41072","0.15537"
"9.80000","0.41493","0.16041"
"9.90000","0.41906","0.16587"
"10.00000","0.42346","0.17092"
"10.10000","0.42758","0.17547"
"10.20000","0.43180","0.18081"
"10.30000","0.43602","0.18595"
"10.40000","0.44023","0.19074"
"10.50000","0.44436","0.19607"
"10.60000","0.44876","0.20113"
"10.70000","0.45298","0.20604"
"10.80000","0.45719","0.21098"
"10.90000","0.46141","0.21602"
"11.00000","0.46563","0.22100"
"11.10000","0.46994","0.22585"
"11.20000","0.47406","0.23092"
"11.30000","0.47837","0.23600"
"11.40000","0.48259","0.24070"
"11.50000","0.48681","0.24586"
"11.60000","0.49112","0.25085"
"11.70000","0.49533","0.25564"
"11.80000","0.49955","0.26078"
"11.90000","0.50377","0.26573"
"12.00000","0.50808","0.27062"
"12.10000","0.51229","0.27536"
"12.20000","0.51651","0.28045"
"12.30000","0.52082","0.28543"
"12.40000","0.52504","0.29002"
"12.50000","0.52916","0.29494"
"12.60000","0.53347","0.30028"
"12.70000","0.53778","0.30494"
"12.80000","0.54181","0.30958"
"12.90000","0.54612","0.31471"
"13.00000","0.55043","0.31947"
"13.10000","0.55465","0.32419"
"13.20000","0.55887","0.32894"
