Test : Rate 1,"2.54000",mm/min
Specimen notes : Specimen note 1,""

Time,Extension,Load
(s),(mm),(kN)
"0.00000","0.00009","0.09451"
"0.10000","0.00225","0.09641"
"0.20000","0.00684","0.13731"
"0.30000","0.01153","0.18362"
"0.40000","0.01612","0.22923"
"0.50000","0.02090","0.27337"
"0.60000","0.02539","0.31479"
"0.70000","0.02952","0.35668"
"0.80000","0.03392","0.40069"
"0.90000","0.03833","0.44302"
"1.00000","0.04245","0.48233"
"1.10000","0.04657","0.52473"
"1.20000","0.05098","0.56681"
"1.30000","0.05519","0.60545"
"1.40000","0.05922","0.64580"
"1.50000","0.06353","0.68810"
"1.60000","0.06784","0.72659"
"1.70000","0.07197","0.76635"
"1.80000","0.07618","0.80848"
"1.90000","0.08068","0.84922"
"2.00000","0.08471","0.88792"
"2.10000","0.08883","0.92982"
"2.20000","0.09333","0.97164"
"2.30000","0.09745","1.01016"
"2.40000","0.10158","1.05019"
"2.50000","0.10589","1.09222"
"2.60000","0.11029","1.13094"
"2.70000","0.11432","1.16908"
"2.80000","0.11854","1.20935"
"2.90000","0.12294","1.24850"
"3.00000","0.12707","1.28524"
"3.10000","0.13119","1.32485"
"3.20000","0.13559","1.36471"
"3.30000","0.13990","1.40115"
"3.40000","0.14384","1.43887"
"3.50000","0.14815","1.47859"
"3.60000","0.15255","1.51474"
"3.70000","0.15668","1.55050"
"3.80000","0.16080","1.58923"
"3.90000","0.16530","1.62630"
"4.00000","0.16942","1.66058"
"4.10000","0.17354","1.69794"
"4.20000","0.17786","1.73558"
"4.30000","0.18217","1.76951"
"4.40000","0.18619","1.80439"
"4.50000","0.19060","1.84123"
"4.60000","0.19491","1.87547"
"4.70000","0.19903","1.90889"
"4.80000","0.20316","1.94478"
"4.90000","0.20756","1.97958"
"5.00000","0.21178","2.01183"
"5.10000","0.21590","2.04679"
"5.20000","0.22021","2.08286"
"5.30000","0.22452","2.11600"
"5.40000","0.22855","2.14846"
"5.50000","0.23286","2.18291"
"5.60000","0.23717","2.21588"
"5.70000","0.24129","2.24678"
"5.80000","0.24551","2.28066"
"5.90000","0.24992","2.31366"
"6.00000","0.25413","2.34344"
"6.10000","0.25826","2.37463"
"6.20000","0.26257","2.40685"
"6.30000","0.26688","2.43583"
"6.40000","0.27100","2.46337"
"6.50000","0.27522","2.49226"
"6.60000","0.27962","2.51894"
"6.70000","0.28374","2.54190"
"6.80000","0.28787","2.56662"
"6.90000","0.29218","2.59121"
"7.00000","0.29649","2.61169"
"7.10000","0.30052","2.63163"
"7.20000","0.30483","2.65308"
"7.30000","0.30923","2.67237"
"7.40000","0.31326","2.68831"
"7.50000","0.31748","2.70623"
"7.60000","0.32179","2.72304"
"7.70000","0.32601","2.73672"
"7.80000","0.33022","2.75118"
"7.90000","0.33453","2.76571"
"8.00000","0.33884","2.77748"
"8.10000","0.34287","2.78801"
"8.20000","0.34718","2.80056"
"8.30000","0.35159","2.81179"
"8.40000","0.35571","2.81967"
"8.50000","0.35974","2.82943"
"8.60000","0.36414","2.83979"
"8.70000","0.36845","2.84683"
"8.80000","0.37248","2.85431"
"8.90000","0.37679","2.86270"
"9.00000","0.38120","2.86975"
"9.10000","0.38523","2.87488"
"9.20000","0.38944","2.88260"
"9.30000","0.39385","2.88945"
"9.40000","0.39797","2.89333"
"9.50000","0.40209","2.89888"
"9.60000","0.40650","2.90577"
"9.70000","0.41081","2.90929"
"9.80000","0.41493","2.91337"
"9.90000","0.41915","2.91904"
"10.00000","0.42355","2.92304"
"10.10000","0.42758","2.92505"
"10.20000","0.43180","2.93022"
"10.30000","0.43620","2.93486"
"10.40000","0.44042","2.93658"
"10.50000","0.44445","2.93958"
"10.60000","0.44876","2.94428"
"10.70000","0.45317","2.94679"
"10.80000","0.45729","2.94825"
"10.90000","0.46150","2.95232"
"11.00000","0.46591","2.95556"
"11.10000","0.46994","2.95675"
"11.20000","0.47416","2.95934"
"11.30000","0.47856","2.96335"
"11.40000","0.48268","2.96397"
"11.50000","0.48681","2.96558"
"11.60000","0.49112","2.96930"
"11.70000","0.49543","2.97106"
"11.80000","0.49955","2.97154"
"11.90000","0.50377","2.97481"
"12.00000","0.50817","2.97730"
"12.10000","0.51229","2.97823"
"12.20000","0.51642","2.97938"
"12.30000","0.52082","2.98298"
"12.40000","0.52513","2.98388"
"12.50000","0.52916","2.98407"
"12.60000","0.53347","2.98701"
"12.70000","0.53788","2.98886"
"12.80000","0.54191","2.98888"
"12.90000","0.54612","2.99066"
"13.00000","0.55053","2.99394"
"13.10000","0.55474","2.99363"
"13.20000","0.55877","2.99519"
"13.30000","0.56318","2.99806"
"13.40000","0.56749","2.99870"
"13.50000","0.57152","2.99883"
"13.60000","0.57573","3.00166"
"13.70000","0.58014","3.00303"
"13.80000","0.58426","3.00281"
"13.90000","0.58838","3.00496"
"14.00000","0.59279","3.00709"
"14.10000","0.59710","3.00731"
"14.20000","0.60113","3.00825"
"14.30000","0.60544","3.01095"
