Test : Rate 1,"2.54000",mm/min
Specimen notes : Specimen note 1,""

Time,Extension,Load
(s),(mm),(kN)
"0.00000","-0.00009","0.26120"
"0.10000","0.00159","0.26162"
"0.20000","0.00628","0.29711"
"0.30000","0.01124","0.36245"
"0.40000","0.01593","0.42500"
"0.50000","0.02062","0.48499"
"0.60000","0.02521","0.54137"
"0.70000","0.02952","0.59441"
"0.80000","0.03373","0.65192"
"0.90000","0.03814","0.70850"
"1.00000","0.04254","0.76049"
"1.10000","0.04657","0.81363"
"1.20000","0.05088","0.86902"
"1.30000","0.05529","0.92111"
"1.40000","0.05932","0.97177"
"1.50000","0.06353","1.02657"
"1.60000","0.06794","1.08080"
"1.70000","0.07215","1.12963"
"1.80000","0.07618","1.18181"
"1.90000","0.08049","1.23323"
"2.00000","0.08480","1.28015"
"2.10000","0.08883","1.32758"
"2.20000","0.09305","1.37683"
"2.30000","0.09755","1.42376"
"2.40000","0.10167","1.46787"
"2.50000","0.10579","1.51678"
"2.60000","0.11011","1.56390"
"2.70000","0.11442","1.60610"
"2.80000","0.11845","1.65252"
"2.90000","0.12276","1.69989"
"3.00000","0.12716","1.74423"
"3.10000","0.13119","1.78954"
"3.20000","0.13550","1.83736"
"3.30000","0.13990","1.88233"
"3.40000","0.14403","1.92556"
"3.50000","0.14815","1.97326"
"3.60000","0.15255","2.02009"
"3.70000","0.15677","2.06237"
"3.80000","0.16080","2.10683"
"3.90000","0.16520","2.15424"
"4.00000","0.16952","2.19627"
"4.10000","0.17354","2.23856"
"4.20000","0.17776","2.28416"
"4.30000","0.18217","2.32749"
"4.40000","0.18629","2.36749"
"4.50000","0.19041","2.41250"
"4.60000","0.19482","2.45702"
"4.70000","0.19903","2.49692"
"4.80000","0.20316","2.54070"
"4.90000","0.20747","2.58503"
"5.00000","0.21178","2.62516"
"5.10000","0.21590","2.66468"
"5.20000","0.22012","2.70796"
"5.30000","0.22452","2.74855"
"5.40000","0.22874","2.78616"
"5.50000","0.23286","2.82678"
"5.60000","0.23717","2.86801"
"5.70000","0.24148","2.90389"
"5.80000","0.24551","2.94217"
"5.90000","0.24982","2.98208"
"6.00000","0.25423","3.01792"
"6.10000","0.25816","3.05253"
"6.20000","0.26238","3.09061"
"6.30000","0.26688","3.12608"
"6.40000","0.27100","3.15864"
"6.50000","0.27512","3.19401"
"6.60000","0.27953","3.23006"
"6.70000","0.28374","3.26098"
"6.80000","0.28777","3.29285"
"6.90000","0.29208","3.32746"
"7.00000","0.29649","3.35804"
"7.10000","0.30061","3.38753"
"7.20000","0.30483","3.41972"
"7.30000","0.30923","3.44945"
"7.40000","0.31335","3.47670"
"7.50000","0.31748","3.50528"
"7.60000","0.32188","3.53536"
"7.70000","0.32619","3.56100"
"7.80000","0.33013","3.58647"
"7.90000","0.33444","3.61475"
"8.00000","0.33884","3.63958"
"8.10000","0.34297","3.66215"
"8.20000","0.34709","3.68770"
"8.30000","0.35149","3.71218"
"8.40000","0.35562","3.73244"
"8.50000","0.35974","3.75468"
"8.60000","0.36414","3.77832"
"8.70000","0.36836","3.79840"
"8.80000","0.37248","3.81763"
"8.90000","0.37670","3.83974"
"9.00000","0.38120","3.85885"
"9.10000","0.38532","3.87592"
"9.20000","0.38944","3.89508"
"9.30000","0.39385","3.91396"
"9.40000","0.39807","3.92902"
"9.50000","0.40219","3.94516"
"9.60000","0.40650","3.96329"
"9.70000","0.41081","3.97803"
"9.80000","0.41484","3.99135"
"9.90000","0.41906","4.00755"
"10.00000","0.42346","4.02174"
"10.10000","0.42758","4.03282"
"10.20000","0.43171","4.04650"
"10.30000","0.43620","4.06054"
"10.40000","0.44033","4.07054"
"10.50000","0.44445","4.08115"
"10.60000","0.44876","4.09411"
"10.70000","0.45317","4.10460"
"10.80000","0.45710","4.11271"
"10.90000","0.46141","4.12432"
"11.00000","0.46582","4.13446"
"11.10000","0.47003","4.14077"
"11.20000","0.47406","4.14954"
"11.30000","0.47847","4.16002"
"11.40000","0.48278","4.16630"
"11.50000","0.48681","4.17251"
"11.60000","0.49112","4.18211"
"11.70000","0.49552","4.18879"
"11.80000","0.49955","4.19325"
"11.90000","0.50377","4.20116"
"12.00000","0.50817","4.20830"
"12.10000","0.51229","4.21215"
"12.20000","0.51642","4.21787"
"12.30000","0.52082","4.22504"
"12.40000","0.52504","4.22853"
"12.50000","0.52907","4.23218"
"12.60000","0.53338","4.23925"
"12.70000","0.53778","4.24404"
"12.80000","0.54181","4.24646"
"12.90000","0.54603","4.25227"
"13.00000","0.55053","4.25743"
"13.10000","0.55465","4.25909"
"13.20000","0.55877","4.26328"
"13.30000","0.56318","4.26941"
"13.40000","0.56749","4.27114"
"13.50000","0.57152","4.27362"
"13.60000","0.57583","4.27935"
"13.70000","0.58023","4.28221"
"13.80000","0.58417","4.28360"
"13.90000","0.58838","4.28798"
"14.00000","0.59279","4.29251"
"14.10000","0.59700","4.29279"
"14.20000","0.60103","4.29591"
"14.30000","0.60544","4.30138"
