Time,Extension,Load
(s),(mm),(kN)
"0.00000","0.00000","0.05721"
"0.10000","0.00262","0.05894"
"0.20000","0.00712","0.06205"
"0.30000","0.01181","0.06307"
"0.40000","0.01649","0.06470"
"0.50000","0.02080","0.06627"
"0.60000","0.02511","0.06752"
"0.70000","0.02952","0.06836"
"0.80000","0.03392","0.06923"
"0.90000","0.03804","0.06970"
"1.00000","0.04236","0.06991"
"1.10000","0.04667","0.07035"
"1.20000","0.05088","0.07070"
"1.30000","0.05510","0.07063"
"1.40000","0.05941","0.07111"
"1.50000","0.06363","0.07112"
"1.60000","0.06775","0.07127"
"1.70000","0.07206","0.07159"
"1.80000","0.07637","0.07191"
"1.90000","0.08049","0.07211"
"2.00000","0.08471","0.07242"
"2.10000","0.08902","0.07284"
"2.20000","0.09314","0.07326"
"2.30000","0.09727","0.07360"
"2.40000","0.10167","0.07381"
"2.50000","0.10589","0.07397"
"2.60000","0.11001","0.07405"
"2.70000","0.11432","0.07410"
"2.80000","0.11854","0.07418"
"2.90000","0.12266","0.07451"
"3.00000","0.12697","0.07467"
"3.10000","0.13128","0.07506"
"3.20000","0.13550","0.07556"
"3.30000","0.13972","0.07557"
"3.40000","0.14403","0.07581"
"3.50000","0.14824","0.07634"
"3.60000","0.15237","0.07623"
"3.70000","0.15658","0.07646"
"3.80000","0.16089","0.07687"
"3.90000","0.16502","0.07708"
"4.00000","0.16933","0.07715"
"4.10000","0.17364","0.07747"
"4.20000","0.17776","0.07763"
"4.30000","0.18198","0.07801"
"4.40000","0.18638","0.07816"
"4.50000","0.19060","0.07868"
"4.60000","0.19463","0.07843"
"4.70000","0.19894","0.07905"
"4.80000","0.20325","0.07969"
"4.90000","0.20737","0.08054"
"5.00000","0.21159","0.08067"
"5.10000","0.21590","0.08107"
"5.20000","0.22012","0.08197"
"5.30000","0.22424","0.08351"
"5.40000","0.22864","0.08493"
"5.50000","0.23286","0.08639"
"5.60000","0.23698","0.08882"
"5.70000","0.24129","0.09088"
"5.80000","0.24560","0.09349"
"5.90000","0.24973","0.09955"
"6.00000","0.25394","0.11181"
"6.10000","0.25835","0.12896"
"6.20000","0.26247","0.14729"
"6.30000","0.26660","0.16835"
"6.40000","0.27100","0.19002"
"6.50000","0.27522","0.21462"
"6.60000","0.27934","0.24165"
"6.70000","0.28365","0.27480"
"6.80000","0.28787","0.30849"
"6.90000","0.29208","0.34014"
"7.00000","0.29630","0.37253"
"7.10000","0.30061","0.40445"
"7.20000","0.30492","0.43393"
