Time,Extension,Load
(s),(mm),(kN)
"0.00000","0.00000","-0.04960"
"0.10000","0.02661","-0.03849"
"0.20000","0.07356","-0.00433"
"0.30000","0.12051","0.03564"
"0.40000","0.16586","0.07375"
"0.50000","0.20990","0.11051"
"0.60000","0.25348","0.14608"
"0.70000","0.29639","0.18057"
"0.80000","0.33912","0.21512"
"0.90000","0.38157","0.24867"
"1.00000","0.42412","0.28224"
"1.10000","0.46638","0.31474"
"1.20000","0.50892","0.34793"
"1.30000","0.55118","0.37982"
"1.40000","0.59354","0.41157"
"1.50000","0.63580","0.44316"
"1.60000","0.67825","0.47533"
"1.70000","0.72051","0.50628"
"1.80000","0.76287","0.53763"
"1.90000","0.80513","0.56848"
"2.00000","0.84748","0.59932"
"2.10000","0.88993","0.62963"
"2.20000","0.93229","0.65891"
"2.30000","0.97464","0.68943"
"2.40000","1.01690","0.71859"
"2.50000","1.05917","0.74798"
"2.60000","1.10152","0.77695"
"2.70000","1.14378","0.80545"
"2.80000","1.18623","0.83363"
"2.90000","1.22859","0.86169"
"3.00000","1.27094","0.88960"
"3.10000","1.31311","0.91655"
"3.20000","1.35556","0.94382"
"3.30000","1.39782","0.97122"
"3.40000","1.44027","0.99732"
"3.50000","1.48253","1.02308"
"3.60000","1.52498","1.04917"
"3.70000","1.56715","1.07425"
"3.80000","1.60960","1.09964"
"3.90000","1.65186","1.12450"
"4.00000","1.69421","1.14879"
"4.10000","1.73657","1.17314"
"4.20000","1.77883","1.19698"
"4.30000","1.82119","1.21954"
"4.40000","1.86354","1.24211"
"4.50000","1.90590","1.26446"
"4.60000","1.94825","1.28684"
"4.70000","1.99051","1.30852"
"4.80000","2.03287","1.32883"
"4.90000","2.07513","1.34907"
"5.00000","2.11749","1.37011"
"5.10000","2.15984","1.38944"
"5.20000","2.20229","1.40814"
"5.30000","2.24455","1.42675"
"5.40000","2.28700","1.44585"
"5.50000","2.32917","1.46319"
"5.60000","2.37153","1.48030"
"5.70000","2.41388","1.49804"
"5.80000","2.45624","1.51407"
"5.90000","2.49850","1.53013"
"6.00000","2.54085","1.54614"
"6.10000","2.58330","1.56087"
"6.20000","2.62556","1.57498"
"6.30000","2.66783","1.58935"
"6.40000","2.71018","1.60317"
"6.50000","2.75254","1.61667"
"6.60000","2.79480","1.62881"
"6.70000","2.83715","1.64163"
"6.80000","2.87951","1.65411"
"6.90000","2.92186","1.66539"
"7.00000","2.96431","1.67690"
"7.10000","3.00658","1.68773"
"7.20000","3.04893","1.69868"
"7.30000","3.09110","1.70793"
"7.40000","3.13355","1.71851"
"7.50000","3.17590","1.72792"
"7.60000","3.21826","1.73758"
"7.70000","3.26061","1.74648"
"7.80000","3.30297","1.75495"
"7.90000","3.34523","1.76321"
"8.00000","3.38759","1.77094"
"8.10000","3.42994","1.77892"
"8.20000","3.47230","1.78725"
"8.30000","3.51456","1.79447"
"8.40000","3.55691","1.80161"
"8.50000","3.59927","1.80832"
"8.60000","3.64162","1.81519"
"8.70000","3.68379","1.82278"
"8.80000","3.72624","1.82910"
"8.90000","3.76860","1.83477"
"9.00000","3.81086","1.84114"
"9.10000","3.85321","1.84741"
"9.20000","3.89548","1.85279"
"9.30000","3.93793","1.85831"
"9.40000","3.98028","1.86403"
"9.50000","4.02254","1.86983"
"9.60000","4.06480","1.87435"
"9.70000","4.10716","1.87992"
"9.80000","4.14951","1.88437"
"9.90000","4.19187","1.89042"
"10.00000","4.23422","1.89487"
"10.10000","4.27667","1.89932"
"10.20000","4.31894","1.90408"
"10.30000","4.36120","1.90867"
"10.40000","4.40355","1.91368"
"10.50000","4.44591","1.91836"
"10.60000","4.48826","1.92304"
"10.70000","4.53062","1.92669"
"10.80000","4.57297","1.93132"
"10.90000","4.61524","1.93501"
"11.00000","4.65750","1.93904"
"11.10000","4.69985","1.94351"
"11.20000","4.74230","1.94715"
"11.30000","4.78456","1.95163"
"11.40000","4.82683","1.95568"
"11.50000","4.86918","1.95935"
"11.60000","4.91154","1.96364"
"11.70000","4.95389","1.96723"
"11.80000","4.99625","1.97134"
"11.90000","5.03860","1.97531"
"12.00000","5.08096","1.97823"
"12.10000","5.12313","1.98238"
"12.20000","5.16558","1.98639"
"12.30000","5.20784","1.99019"
"12.40000","5.25029","1.99343"
"12.50000","5.29264","1.99749"
"12.60000","5.33490","2.00103"
"12.70000","5.37716","2.00445"
"12.80000","5.41952","2.00745"
"12.90000","5.46188","2.01185"
"13.00000","5.50423","2.01489"
"13.10000","5.54649","2.01854"
"13.20000","5.58894","2.02292"
"13.30000","5.63130","2.02529"
"13.40000","5.67356","2.02859"
"13.50000","5.71582","2.03214"
"13.60000","5.75827","2.03617"
"13.70000","5.80062","2.03897"
"13.80000","5.84289","2.04241"
"13.90000","5.88515","2.04531"
"14.00000","5.92760","2.04883"
"14.10000","5.96995","2.05286"
"14.20000","6.01221","2.05563"
"14.30000","6.05466","2.05917"
"14.40000","6.09683","2.06176"
"14.50000","6.13919","2.06591"
"14.60000","6.18154","2.06898"
"14.70000","6.22380","2.07187"
"14.80000","6.26635","2.07586"
"14.90000","6.30861","2.07772"
"15.00000","6.35096","2.08114"
"15.10000","6.39322","2.08395"
"15.20000","6.43558","2.08739"
"15.30000","6.47794","2.09046"
"15.40000","6.52029","2.09392"
"15.50000","6.56255","2.09670"
"15.60000","6.60491","2.09930"
"15.70000","6.64726","2.10284"
"15.80000","6.68953","2.10612"
"15.90000","6.73188","2.10966"
"16.00000","6.77424","2.11231"
"16.10000","6.81659","2.11505"
"16.20000","6.85895","2.11822"
"16.30000","6.90121","2.12085"
"16.40000","6.94356","2.12435"
"16.50000","6.98592","2.12693"
"16.60000","7.02827","2.13005"
"16.70000","7.07054","2.13210"
"16.80000","7.11289","2.13595"
"16.90000","7.15525","2.13843"
"17.00000","7.19751","2.14110"
"17.10000","7.23986","2.14485"
"17.20000","7.28231","2.14834"
