Time,Extension,Load
(s),(mm),(kN)
"0.00000","-0.00009","0.02224"
"0.10000","0.02652","0.03843"
"0.20000","0.07356","0.06990"
"0.30000","0.12051","0.07364"
"0.40000","0.16586","0.07529"
"0.50000","0.21000","0.07592"
"0.60000","0.25329","0.07641"
"0.70000","0.29630","0.07836"
"0.80000","0.33903","0.08166"
"0.90000","0.38157","0.10986"
"1.00000","0.42393","0.14908"
"1.10000","0.46638","0.19488"
"1.20000","0.50873","0.24010"
"1.30000","0.55128","0.28559"
"1.40000","0.59344","0.32949"
"1.50000","0.63589","0.37306"
"1.60000","0.67815","0.41646"
"1.70000","0.72051","0.45890"
"1.80000","0.76287","0.50059"
"1.90000","0.80513","0.54104"
"2.00000","0.84748","0.58147"
"2.10000","0.88984","0.62105"
"2.20000","0.93210","0.65866"
"2.30000","0.97464","0.69495"
"2.40000","1.01690","0.73041"
"2.50000","1.05917","0.76534"
"2.60000","1.10133","0.80022"
"2.70000","1.14388","0.83432"
"2.80000","1.18614","0.86751"
"2.90000","1.22849","0.90067"
"3.00000","1.27085","0.93298"
"3.10000","1.31330","0.96458"
"3.20000","1.35556","0.99573"
"3.30000","1.39782","1.02567"
"3.40000","1.43999","1.05513"
"3.50000","1.48253","1.08438"
"3.60000","1.52489","1.11334"
"3.70000","1.56724","1.14230"
"3.80000","1.60960","1.17123"
"3.90000","1.65195","1.19974"
"4.00000","1.69412","1.22742"
"4.10000","1.73638","1.25516"
"4.20000","1.77864","1.28266"
"4.30000","1.82119","1.31039"
"4.40000","1.86345","1.33746"
"4.50000","1.90590","1.36466"
"4.60000","1.94807","1.39111"
"4.70000","1.99051","1.41773"
"4.80000","2.03278","1.44382"
"4.90000","2.07513","1.46953"
"5.00000","2.11739","1.49539"
"5.10000","2.15984","1.52081"
"5.20000","2.20220","1.54554"
"5.30000","2.24455","1.57046"
"5.40000","2.28682","1.59485"
"5.50000","2.32926","1.61889"
"5.60000","2.37153","1.64267"
"5.70000","2.41388","1.66571"
"5.80000","2.45614","1.68876"
"5.90000","2.49850","1.71110"
"6.00000","2.54085","1.73292"
"6.10000","2.58321","1.75471"
"6.20000","2.62556","1.77616"
"6.30000","2.66792","1.79726"
"6.40000","2.71018","1.81717"
"6.50000","2.75244","1.83656"
"6.60000","2.79480","1.85560"
"6.70000","2.83725","1.87445"
"6.80000","2.87951","1.89275"
"6.90000","2.92177","1.91003"
"7.00000","2.96422","1.92754"
"7.10000","3.00658","1.94429"
"7.20000","3.04884","1.96068"
"7.30000","3.09100","1.97550"
"7.40000","3.13336","1.99020"
"7.50000","3.17581","2.00447"
"7.60000","3.21826","2.01824"
"7.70000","3.26071","2.03121"
"7.80000","3.30288","2.04368"
"7.90000","3.34523","2.05559"
"8.00000","3.38759","2.06659"
"8.10000","3.42994","2.07714"
"8.20000","3.47211","2.08706"
"8.30000","3.51446","2.09660"
"8.40000","3.55682","2.10551"
"8.50000","3.59927","2.11359"
"8.60000","3.64144","2.12124"
"8.70000","3.68379","2.12844"
"8.80000","3.72615","2.13507"
"8.90000","3.76850","2.14069"
"9.00000","3.81077","2.14618"
"9.10000","3.85312","2.15100"
"9.20000","3.89557","2.15555"
"9.30000","3.93783","2.15918"
"9.40000","3.98019","2.16230"
"9.50000","4.02254","2.16498"
"9.60000","4.06480","2.16711"
"9.70000","4.10707","2.16905"
"9.80000","4.14942","2.17024"
"9.90000","4.19178","2.17110"
"10.00000","4.23413","2.17161"
"10.10000","4.27658","2.17178"
"10.20000","4.31884","2.17148"
"10.30000","4.36129","2.17105"
"10.40000","4.40346","2.17042"
"10.50000","4.44572","2.16887"
"10.60000","4.48808","2.16733"
"10.70000","4.53053","2.16561"
"10.80000","4.57288","2.16411"
"10.90000","4.61524","2.16210"
"11.00000","4.65759","2.16005"
"11.10000","4.69995","2.15771"
"11.20000","4.74212","2.15504"
"11.30000","4.78438","2.15219"
"11.40000","4.82673","2.14913"
"11.50000","4.86927","2.14616"
"11.60000","4.91144","2.14308"
"11.70000","4.95389","2.13978"
"11.80000","4.99615","2.13613"
"11.90000","5.03851","2.13267"
"12.00000","5.08077","2.12887"
"12.10000","5.12313","2.12535"
"12.20000","5.16539","2.12158"
"12.30000","5.20784","2.11814"
"12.40000","5.25019","2.11454"
"12.50000","5.29255","2.11101"
"12.60000","5.33490","2.10742"
"12.70000","5.37726","2.10385"
"12.80000","5.41952","2.10024"
"12.90000","5.46188","2.09660"
"13.00000","5.50414","2.09283"
"13.10000","5.54649","2.08918"
"13.20000","5.58885","2.08549"
"13.30000","5.63130","2.08213"
"13.40000","5.67356","2.07863"
"13.50000","5.71591","2.07527"
"13.60000","5.75818","2.07130"
"13.70000","5.80044","2.06746"
"13.80000","5.84270","2.06365"
"13.90000","5.88524","2.06039"
"14.00000","5.92750","2.05670"
"14.10000","5.96976","2.05314"
"14.20000","6.01231","2.04975"
"14.30000","6.05466","2.04650"
"14.40000","6.09683","2.04300"
"14.50000","6.13909","2.03920"
"14.60000","6.18145","2.03545"
"14.70000","6.22390","2.03198"
"14.80000","6.26625","2.02872"
"14.90000","6.30861","2.02540"
"15.00000","6.35087","2.02210"
"15.10000","6.39313","2.01866"
"15.20000","6.43558","2.01532"
"15.30000","6.47784","2.01227"
"15.40000","6.52010","2.00879"
"15.50000","6.56246","2.00547"
"15.60000","6.60491","2.00228"
"15.70000","6.64726","1.99911"
"15.80000","6.68953","1.99604"
"15.90000","6.73188","1.99292"
"16.00000","6.77424","1.98955"
"16.10000","6.81659","1.98613"
"16.20000","6.85885","1.98287"
"16.30000","6.90121","1.97988"
"16.40000","6.94366","1.97680"
"16.50000","6.98592","1.97355"
"16.60000","7.02818","1.97037"
"16.70000","7.07044","1.96701"
"16.80000","7.11280","1.96404"
"16.90000","7.15506","1.96069"
"17.00000","7.19741","1.95752"
"17.10000","7.23986","1.95440"
"17.20000","7.28222","1.95118"
"17.30000","7.32457","1.94799"
"17.40000","7.36693","1.94468"
"17.50000","7.40919","1.94149"
"17.60000","7.45164","1.93826"
"17.70000","7.49381","1.93482"
"17.80000","7.53607","1.93108"
"17.90000","7.57852","1.92831"
"18.00000","7.62097","1.92518"
"18.10000","7.66323","1.92171"
"18.20000","7.70559","1.91870"
"18.30000","7.74775","1.91537"
"18.40000","7.79011","1.91204"
"18.50000","7.83246","1.90840"
"18.60000","7.87482","1.90486"
"18.70000","7.91718","1.90165"
"18.80000","7.95953","1.89795"
"18.90000","8.00198","1.89461"
"19.00000","8.04424","1.89057"
"19.10000","8.08641","1.88687"
"19.20000","8.12876","1.88324"
"19.30000","8.17112","1.87939"
"19.40000","8.21347","1.87557"
"19.50000","8.25583","1.87157"
"19.60000","8.29819","1.86815"
"19.70000","8.34045","1.86440"
"19.80000","8.38280","1.86006"
"19.90000","8.42516","1.85665"
"20.00000","8.46761","1.85260"
"20.10000","8.50978","1.84863"
"20.20000","8.55204","1.84432"
"20.30000","8.59458","1.84071"
"20.40000","8.63693","1.83675"
"20.50000","8.67929","1.83295"
"20.60000","8.72155","1.82827"
"20.70000","8.76381","1.82439"
"20.80000","8.80617","1.81969"
"20.90000","8.84843","1.81522"
"21.00000","8.89079","1.81066"
"21.10000","8.93324","1.80620"
"21.20000","8.97550","1.80165"
"21.30000","9.01785","1.79721"
"21.40000","9.06030","1.79267"
"21.50000","9.10256","1.78781"
"21.60000","9.14473","1.78334"
"21.70000","9.18699","1.77837"
"21.80000","9.22935","1.77312"
"21.90000","9.27180","1.76821"
"22.00000","9.31425","1.76340"
"22.10000","9.35660","1.75891"
"22.20000","9.39886","1.75403"
"22.30000","9.44112","1.74910"
"22.40000","9.48357","1.74405"
"22.50000","9.52584","1.73917"
"22.60000","9.56810","1.73406"
"22.70000","9.61055","1.72894"
"22.80000","9.65290","1.72377"
"22.90000","9.69526","1.71903"
"23.00000","9.73752","1.71381"
"23.10000","9.77987","1.70893"
"23.20000","9.82214","1.70347"
"23.30000","9.86449","1.69865"
"23.40000","9.90685","1.69351"
"23.50000","9.94920","1.68840"
"23.60000","9.99156","1.68359"
"23.70000","10.03382","1.67867"
"23.80000","10.07617","1.67380"
"23.90000","10.11853","1.66842"
"24.00000","10.16079","1.66352"
"24.10000","10.20315","1.65862"
"24.20000","10.24560","1.65383"
"24.30000","10.28776","1.64917"
"24.40000","10.33021","1.64462"
"24.50000","10.37257","1.63989"
"24.60000","10.41483","1.63517"
"24.70000","10.45718","1.63082"
"24.80000","10.49954","1.62599"
"24.90000","10.54171","1.62136"
"25.00000","10.58406","1.61684"
"25.10000","10.62661","1.61275"
"25.20000","10.66896","1.60841"
"25.30000","10.71122","1.60433"
"25.40000","10.75358","1.60035"
"25.50000","10.79584","1.59605"
"25.60000","10.83810","1.59181"
"25.70000","10.88046","1.58760"
"25.80000","10.92281","1.58360"
"25.90000","10.96526","1.58019"
"26.00000","11.00752","1.57569"
"26.10000","11.04997","1.57206"
"26.20000","11.09205","1.56830"
"26.30000","11.13440","1.56427"
"26.40000","11.17676","1.56059"
"26.50000","11.21921","1.55647"
"26.60000","11.26147","1.55297"
"26.70000","11.30382","1.54946"
"26.80000","11.34618","1.54596"
"26.90000","11.38854","1.54258"
"27.00000","11.43089","1.53909"
"27.10000","11.47315","1.53551"
"27.20000","11.51560","1.53248"
"27.30000","11.55786","1.52870"
"27.40000","11.60012","1.52547"
"27.50000","11.64257","1.52236"
"27.60000","11.68484","1.51906"
"27.70000","11.72719","1.51621"
"27.80000","11.76955","1.51292"
"27.90000","11.81181","1.51005"
"28.00000","11.85407","1.50658"
"28.10000","11.89642","1.50317"
"28.20000","11.93887","1.50033"
"28.30000","11.98123","1.49770"
"28.40000","12.02349","1.49474"
"28.50000","12.06585","1.49189"
"28.60000","12.10839","1.48936"
"28.70000","12.15056","1.48669"
"28.80000","12.19272","1.48317"
"28.90000","12.23508","1.48027"
"29.00000","12.27743","1.47705"
"29.10000","12.31989","1.47456"
"29.20000","12.36224","1.47223"
"29.30000","12.40450","1.46957"
"29.40000","12.44686","1.46677"
"29.50000","12.48921","1.46421"
"29.60000","12.53157","1.46151"
"29.70000","12.57374","1.45887"
"29.80000","12.61619","1.45618"
"29.90000","12.65854","1.45351"
"30.00000","12.70090","1.45115"
"30.10000","12.74316","1.44851"
"30.20000","12.78551","1.44565"
"30.30000","12.82777","1.44309"
"30.40000","12.87013","1.44055"
"30.50000","12.91249","1.43803"
"30.60000","12.95484","1.43561"
"30.70000","12.99720","1.43341"
"30.80000","13.03955","1.43116"
