Time,Extension,Load
(s),(mm),(kN)
"0.00000","0.00000","-0.02436"
"0.10000","0.08930","0.03079"
"0.20000","0.23548","0.16723"
"0.30000","0.38157","0.28711"
"0.40000","0.52326","0.39031"
"0.50000","0.66157","0.48241"
"0.60000","0.79791","0.56549"
"0.70000","0.93322","0.63901"
"0.80000","1.06769","0.70478"
"0.90000","1.20151","0.76344"
"1.00000","1.33532","0.81593"
"1.10000","1.46885","0.86314"
"1.20000","1.60238","0.90607"
"1.30000","1.73582","0.94438"
"1.40000","1.86917","0.97990"
"1.50000","2.00251","1.01272"
"1.60000","2.13585","1.04230"
"1.70000","2.26920","1.07062"
"1.80000","2.40254","1.09520"
"1.90000","2.53579","1.11876"
"2.00000","2.66933","1.14066"
"2.10000","2.80258","1.16014"
"2.20000","2.93592","1.17861"
"2.30000","3.06917","1.19479"
"2.40000","3.20261","1.20958"
"2.50000","3.33595","1.22326"
"2.60000","3.46920","1.23602"
"2.70000","3.60255","1.24820"
"2.80000","3.73589","1.25896"
"2.90000","3.86924","1.26841"
"3.00000","4.00258","1.27758"
"3.10000","4.13583","1.28495"
"3.20000","4.26927","1.29135"
"3.30000","4.40262","1.29771"
"3.40000","4.53587","1.30370"
"3.50000","4.66921","1.30864"
"3.60000","4.80265","1.31290"
"3.70000","4.93590","1.31724"
"3.80000","5.06924","1.31931"
"3.90000","5.20259","1.32210"
"4.00000","5.33593","1.32493"
"4.10000","5.46928","1.32616"
"4.20000","5.60262","1.32770"
"4.30000","5.73597","1.32936"
"4.40000","5.86922","1.32945"
"4.50000","6.00266","1.33063"
"4.60000","6.13591","1.32997"
"4.70000","6.26925","1.32958"
"4.80000","6.40260","1.32961"
"4.90000","6.53585","1.32901"
"5.00000","6.66928","1.32752"
"5.10000","6.80263","1.32673"
"5.20000","6.93597","1.32504"
"5.30000","7.06922","1.32302"
"5.40000","7.20257","1.32148"
"5.50000","7.33601","1.32009"
"5.60000","7.46926","1.31776"
"5.70000","7.60251","1.31517"
"5.80000","7.73595","1.31292"
"5.90000","7.86929","1.30986"
"6.00000","8.00264","1.30743"
"6.10000","8.13598","1.30477"
"6.20000","8.26914","1.30161"
"6.30000","8.40267","1.29847"
"6.40000","8.53601","1.29577"
"6.50000","8.66926","1.29195"
"6.60000","8.80270","1.28785"
"6.70000","8.93595","1.28502"
"6.80000","9.06930","1.28104"
"6.90000","9.20255","1.27671"
"7.00000","9.33599","1.27240"
"7.10000","9.46933","1.26797"
"7.20000","9.60258","1.26290"
"7.30000","9.73593","1.25749"
