Time,Extension,Load
(s),(mm),(kN)
"0.00000","0.00000","0.04290"
"0.10000","0.00131","0.04401"
"0.20000","0.00590","0.05669"
"0.30000","0.01087","0.06078"
"0.40000","0.01574","0.06408"
"0.50000","0.02033","0.06546"
"0.60000","0.02493","0.06772"
"0.70000","0.02952","0.06897"
"0.80000","0.03383","0.06971"
"0.90000","0.03814","0.06985"
"1.00000","0.04254","0.07069"
"1.10000","0.04685","0.07136"
"1.20000","0.05107","0.07187"
"1.30000","0.05529","0.07264"
"1.40000","0.05960","0.07282"
"1.50000","0.06372","0.07313"
"1.60000","0.06794","0.07354"
"1.70000","0.07225","0.07394"
"1.80000","0.07646","0.07451"
"1.90000","0.08059","0.07485"
"2.00000","0.08480","0.07502"
"2.10000","0.08911","0.07540"
"2.20000","0.09324","0.07581"
"2.30000","0.09745","0.07619"
"2.40000","0.10186","0.07670"
"2.50000","0.10598","0.07679"
"2.60000","0.11020","0.07709"
"2.70000","0.11451","0.07735"
"2.80000","0.11873","0.07734"
"2.90000","0.12285","0.07773"
"3.00000","0.12716","0.07831"
"3.10000","0.13147","0.07841"
"3.20000","0.13559","0.07853"
"3.30000","0.13981","0.07851"
"3.40000","0.14421","0.07856"
"3.50000","0.14834","0.07880"
"3.60000","0.15255","0.07880"
"3.70000","0.15686","0.07882"
"3.80000","0.16108","0.07919"
"3.90000","0.16520","0.07928"
"4.00000","0.16952","0.07931"
"4.10000","0.17373","0.07947"
"4.20000","0.17786","0.07925"
"4.30000","0.18207","0.07984"
"4.40000","0.18648","0.08101"
"4.50000","0.19069","0.08133"
"4.60000","0.19482","0.08193"
"4.70000","0.19922","0.08244"
"4.80000","0.20344","0.08283"
"4.90000","0.20747","0.08393"
"5.00000","0.21187","0.08537"
"5.10000","0.21609","0.08647"
"5.20000","0.22040","0.08753"
"5.30000","0.22452","0.08892"
"5.40000","0.22883","0.09043"
"5.50000","0.23305","0.09141"
"5.60000","0.23717","0.09263"
"5.70000","0.24148","0.09391"
"5.80000","0.24570","0.09477"
"5.90000","0.24982","0.09585"
"6.00000","0.25413","0.09722"
"6.10000","0.25844","0.09818"
"6.20000","0.26257","0.09976"
"6.30000","0.26678","0.10137"
"6.40000","0.27119","0.10365"
"6.50000","0.27540","0.10982"
"6.60000","0.27953","0.12010"
"6.70000","0.28384","0.13152"
"6.80000","0.28805","0.14442"
"6.90000","0.29218","0.16221"
"7.00000","0.29649","0.18504"
"7.10000","0.30080","0.22406"
"7.20000","0.30492","0.26789"
"7.30000","0.30914","0.31171"
"7.40000","0.31345","0.35524"
"7.50000","0.31767","0.39550"
"7.60000","0.32188","0.43564"
"7.70000","0.32610","0.47400"
"7.80000","0.33032","0.50916"
"7.90000","0.33453","0.54326"
"8.00000","0.33875","0.57727"
"8.10000","0.34297","0.60991"
"8.20000","0.34718","0.63952"
"8.30000","0.35140","0.67027"
"8.40000","0.35571","0.70097"
"8.50000","0.35993","0.72980"
"8.60000","0.36414","0.75766"
"8.70000","0.36845","0.78731"
"8.80000","0.37267","0.81383"
"8.90000","0.37689","0.83949"
"9.00000","0.38110","0.86707"
"9.10000","0.38551","0.89306"
"9.20000","0.38963","0.91684"
"9.30000","0.39376","0.94157"
"9.40000","0.39807","0.96684"
"9.50000","0.40238","0.98967"
"9.60000","0.40650","1.01205"
"9.70000","0.41081","1.03468"
"9.80000","0.41503","1.05631"
"9.90000","0.41915","1.07667"
"10.00000","0.42337","1.09876"
"10.10000","0.42777","1.12078"
"10.20000","0.43189","1.14078"
"10.30000","0.43611","1.16142"
"10.40000","0.44051","1.18226"
"10.50000","0.44473","1.20105"
"10.60000","0.44885","1.21958"
"10.70000","0.45307","1.23959"
"10.80000","0.45738","1.25819"
"10.90000","0.46150","1.27645"
"11.00000","0.46572","1.29699"
"11.10000","0.47013","1.31722"
"11.20000","0.47425","1.33543"
"11.30000","0.47847","1.35494"
"11.40000","0.48278","1.37563"
"11.50000","0.48709","1.39503"
"11.60000","0.49121","1.41442"
"11.70000","0.49543","1.43456"
"11.80000","0.49974","1.45323"
"11.90000","0.50386","1.47136"
"12.00000","0.50808","1.49096"
"12.10000","0.51239","1.51014"
"12.20000","0.51651","1.52776"
"12.30000","0.52073","1.54705"
"12.40000","0.52504","1.56670"
"12.50000","0.52935","1.58497"
"12.60000","0.53338","1.60279"
"12.70000","0.53769","1.62277"
"12.80000","0.54200","1.64120"
"12.90000","0.54612","1.65825"
"13.00000","0.55043","1.67853"
"13.10000","0.55474","1.69751"
"13.20000","0.55896","1.71496"
