Legend:,,,,
,,,,
1-P =,Untitled 1 Process,,,
,,,,
,,,,
Interval:,1,Seconds,,
DataPoint,LogDate,LogTime,1-P °F,celsius 
0,2/23/2023,6:22:22 PM,820,437.7777778
1,2/23/2023,6:22:23 PM,817,436.1111111
2,2/23/2023,6:22:24 PM,813,433.8888889
3,2/23/2023,6:22:25 PM,809,431.6666667
4,2/23/2023,6:22:26 PM,806,430
5,2/23/2023,6:22:27 PM,798,425.5555556
6,2/23/2023,6:22:28 PM,798,425.5555556
7,2/23/2023,6:22:29 PM,790,421.1111111
8,2/23/2023,6:22:30 PM,790,421.1111111
9,2/23/2023,6:22:31 PM,783,417.2222222
10,2/23/2023,6:22:32 PM,780,415.5555556
11,2/23/2023,6:22:33 PM,777,413.8888889
12,2/23/2023,6:22:34 PM,774,412.2222222
13,2/23/2023,6:22:35 PM,771,410.5555556
14,2/23/2023,6:22:36 PM,767,408.3333333
15,2/23/2023,6:22:37 PM,762,405.5555556
16,2/23/2023,6:22:38 PM,758,403.3333333
17,2/23/2023,6:22:39 PM,758,403.3333333
18,2/23/2023,6:22:40 PM,753,400.5555556
19,2/23/2023,6:22:41 PM,750,398.8888889
20,2/23/2023,6:22:42 PM,747,397.2222222
21,2/23/2023,6:22:43 PM,744,395.5555556
22,2/23/2023,6:22:44 PM,744,395.5555556
23,2/23/2023,6:22:45 PM,739,392.7777778
24,2/23/2023,6:22:46 PM,736,391.1111111
25,2/23/2023,6:22:47 PM,731,388.3333333
26,2/23/2023,6:22:48 PM,728,386.6666667
27,2/23/2023,6:22:49 PM,728,386.6666667
28,2/23/2023,6:22:50 PM,723,383.8888889
29,2/23/2023,6:22:51 PM,720,382.2222222
30,2/23/2023,6:22:52 PM,720,382.2222222
31,2/23/2023,6:22:53 PM,716,380
32,2/23/2023,6:22:54 PM,713,378.3333333
33,2/23/2023,6:22:55 PM,713,378.3333333
34,2/23/2023,6:22:56 PM,709,376.1111111
35,2/23/2023,6:22:57 PM,706,374.4444444
36,2/23/2023,6:22:58 PM,702,372.2222222
37,2/23/2023,6:22:59 PM,702,372.2222222
38,2/23/2023,6:23:00 PM,697,369.4444444
39,2/23/2023,6:23:01 PM,697,369.4444444
40,2/23/2023,6:23:02 PM,693,367.2222222
41,2/23/2023,6:23:03 PM,690,365.5555556
42,2/23/2023,6:23:04 PM,690,365.5555556
43,2/23/2023,6:23:05 PM,686,363.3333333
44,2/23/2023,6:23:06 PM,682,361.1111111
45,2/23/2023,6:23:07 PM,682,361.1111111
46,2/23/2023,6:23:08 PM,678,358.8888889
47,2/23/2023,6:23:09 PM,678,358.8888889
48,2/23/2023,6:23:10 PM,674,356.6666667
49,2/23/2023,6:23:11 PM,674,356.6666667
50,2/23/2023,6:23:12 PM,670,354.4444444
51,2/23/2023,6:23:13 PM,667,352.7777778
52,2/23/2023,6:23:14 PM,667,352.7777778
53,2/23/2023,6:23:15 PM,667,352.7777778
54,2/23/2023,6:23:16 PM,662,350
55,2/23/2023,6:23:17 PM,662,350
56,2/23/2023,6:23:18 PM,658,347.7777778
57,2/23/2023,6:23:19 PM,658,347.7777778
58,2/23/2023,6:23:20 PM,652,344.4444444
