Legend:

1-P =,Untitled 1 Process


Interval:,1,Seconds
DataPoint,LogDate,LogTime,1-P °C
0,2/23/2023,6:35:40 PM,396
1,2/23/2023,6:35:41 PM,393
2,2/23/2023,6:35:42 PM,390
3,2/23/2023,6:35:43 PM,390
4,2/23/2023,6:35:44 PM,388
5,2/23/2023,6:35:45 PM,386
6,2/23/2023,6:35:46 PM,385
7,2/23/2023,6:35:47 PM,383
8,2/23/2023,6:35:48 PM,381
9,2/23/2023,6:35:49 PM,378
10,2/23/2023,6:35:50 PM,378
11,2/23/2023,6:35:51 PM,374
12,2/23/2023,6:35:52 PM,374
13,2/23/2023,6:35:53 PM,371
14,2/23/2023,6:35:54 PM,371
15,2/23/2023,6:35:55 PM,369
16,2/23/2023,6:35:56 PM,367
17,2/23/2023,6:35:57 PM,367
18,2/23/2023,6:35:58 PM,365
19,2/23/2023,6:35:59 PM,365
20,2/23/2023,6:36:00 PM,362
21,2/23/2023,6:36:01 PM,360
22,2/23/2023,6:36:02 PM,358
23,2/23/2023,6:36:03 PM,357
24,2/23/2023,6:36:04 PM,357
25,2/23/2023,6:36:05 PM,354
26,2/23/2023,6:36:06 PM,353
27,2/23/2023,6:36:07 PM,353
28,2/23/2023,6:36:08 PM,353
29,2/23/2023,6:36:09 PM,349
30,2/23/2023,6:36:10 PM,349
31,2/23/2023,6:36:11 PM,347
32,2/23/2023,6:36:12 PM,346
33,2/23/2023,6:36:13 PM,344
34,2/23/2023,6:36:14 PM,344
35,2/23/2023,6:36:15 PM,342
36,2/23/2023,6:36:16 PM,340
37,2/23/2023,6:36:17 PM,340
38,2/23/2023,6:36:18 PM,338
39,2/23/2023,6:36:19 PM,338
40,2/23/2023,6:36:20 PM,335
41,2/23/2023,6:36:21 PM,333
42,2/23/2023,6:36:22 PM,333
43,2/23/2023,6:36:23 PM,333
44,2/23/2023,6:36:24 PM,331
45,2/23/2023,6:36:25 PM,330
46,2/23/2023,6:36:26 PM,328
47,2/23/2023,6:36:27 PM,328
48,2/23/2023,6:36:28 PM,326
49,2/23/2023,6:36:29 PM,326
50,2/23/2023,6:36:30 PM,324
51,2/23/2023,6:36:31 PM,324
52,2/23/2023,6:36:32 PM,321
53,2/23/2023,6:36:33 PM,321
54,2/23/2023,6:36:34 PM,320
55,2/23/2023,6:36:35 PM,320
56,2/23/2023,6:36:36 PM,318
57,2/23/2023,6:36:37 PM,318
58,2/23/2023,6:36:38 PM,316
59,2/23/2023,6:36:39 PM,316
60,2/23/2023,6:36:40 PM,315
61,2/23/2023,6:36:41 PM,313
62,2/23/2023,6:36:42 PM,311
63,2/23/2023,6:36:43 PM,311
64,2/23/2023,6:36:44 PM,309
65,2/23/2023,6:36:45 PM,309
66,2/23/2023,6:36:46 PM,309
67,2/23/2023,6:36:47 PM,307
68,2/23/2023,6:36:48 PM,307
69,2/23/2023,6:36:49 PM,307
70,2/23/2023,6:36:50 PM,304
71,2/23/2023,6:36:51 PM,304
72,2/23/2023,6:36:52 PM,304
73,2/23/2023,6:36:53 PM,301
74,2/23/2023,6:36:54 PM,301
75,2/23/2023,6:36:55 PM,301
76,2/23/2023,6:36:56 PM,299
77,2/23/2023,6:36:57 PM,299
78,2/23/2023,6:36:58 PM,297
79,2/23/2023,6:36:59 PM,297
80,2/23/2023,6:37:00 PM,296
81,2/23/2023,6:37:01 PM,294
82,2/23/2023,6:37:02 PM,294
83,2/23/2023,6:37:03 PM,294
84,2/23/2023,6:37:04 PM,294
85,2/23/2023,6:37:05 PM,291
86,2/23/2023,6:37:06 PM,291
87,2/23/2023,6:37:07 PM,291
88,2/23/2023,6:37:08 PM,289
89,2/23/2023,6:37:09 PM,289
90,2/23/2023,6:37:10 PM,286
91,2/23/2023,6:37:11 PM,286
92,2/23/2023,6:37:12 PM,286
93,2/23/2023,6:37:13 PM,286
94,2/23/2023,6:37:14 PM,283
95,2/23/2023,6:37:15 PM,283
96,2/23/2023,6:37:16 PM,283
97,2/23/2023,6:37:17 PM,283
98,2/23/2023,6:37:18 PM,280
99,2/23/2023,6:37:19 PM,280
100,2/23/2023,6:37:20 PM,280
101,2/23/2023,6:37:21 PM,278
102,2/23/2023,6:37:22 PM,278
103,2/23/2023,6:37:23 PM,278
104,2/23/2023,6:37:24 PM,278
105,2/23/2023,6:37:25 PM,275
106,2/23/2023,6:37:26 PM,275
107,2/23/2023,6:37:27 PM,275
108,2/23/2023,6:37:28 PM,273
109,2/23/2023,6:37:29 PM,273
110,2/23/2023,6:37:30 PM,273
111,2/23/2023,6:37:31 PM,272
112,2/23/2023,6:37:32 PM,270
113,2/23/2023,6:37:33 PM,270
114,2/23/2023,6:37:34 PM,270
115,2/23/2023,6:37:35 PM,270
116,2/23/2023,6:37:36 PM,268
117,2/23/2023,6:37:37 PM,268
118,2/23/2023,6:37:38 PM,267
119,2/23/2023,6:37:39 PM,266
120,2/23/2023,6:37:40 PM,266
121,2/23/2023,6:37:41 PM,265
122,2/23/2023,6:37:42 PM,265
123,2/23/2023,6:37:43 PM,263
124,2/23/2023,6:37:44 PM,263
125,2/23/2023,6:37:45 PM,263
126,2/23/2023,6:37:46 PM,261
127,2/23/2023,6:37:47 PM,261
128,2/23/2023,6:37:48 PM,261
129,2/23/2023,6:37:49 PM,261
130,2/23/2023,6:37:50 PM,258
131,2/23/2023,6:37:51 PM,258
132,2/23/2023,6:37:52 PM,258
133,2/23/2023,6:37:53 PM,258
134,2/23/2023,6:37:54 PM,256
135,2/23/2023,6:37:55 PM,256
136,2/23/2023,6:37:56 PM,256
137,2/23/2023,6:37:57 PM,254
138,2/23/2023,6:37:58 PM,254
139,2/23/2023,6:37:59 PM,254
140,2/23/2023,6:38:00 PM,252
141,2/23/2023,6:38:01 PM,252
142,2/23/2023,6:38:02 PM,252
143,2/23/2023,6:38:03 PM,251
144,2/23/2023,6:38:04 PM,251
145,2/23/2023,6:38:05 PM,249
146,2/23/2023,6:38:06 PM,249
147,2/23/2023,6:38:07 PM,249
148,2/23/2023,6:38:08 PM,247
149,2/23/2023,6:38:09 PM,247
150,2/23/2023,6:38:10 PM,247
151,2/23/2023,6:38:11 PM,247
152,2/23/2023,6:38:12 PM,245
153,2/23/2023,6:38:13 PM,245
154,2/23/2023,6:38:14 PM,245
155,2/23/2023,6:38:15 PM,245
156,2/23/2023,6:38:16 PM,243
157,2/23/2023,6:38:17 PM,243
158,2/23/2023,6:38:18 PM,243
159,2/23/2023,6:38:19 PM,242
160,2/23/2023,6:38:20 PM,241
161,2/23/2023,6:38:21 PM,241
162,2/23/2023,6:38:22 PM,240
163,2/23/2023,6:38:23 PM,240
164,2/23/2023,6:38:24 PM,240
165,2/23/2023,6:38:25 PM,238
166,2/23/2023,6:38:26 PM,238
167,2/23/2023,6:38:27 PM,238
168,2/23/2023,6:38:28 PM,237
169,2/23/2023,6:38:29 PM,237
170,2/23/2023,6:38:30 PM,235
171,2/23/2023,6:38:31 PM,235
172,2/23/2023,6:38:32 PM,235
173,2/23/2023,6:38:33 PM,235
174,2/23/2023,6:38:34 PM,235
175,2/23/2023,6:38:35 PM,233
176,2/23/2023,6:38:36 PM,233
177,2/23/2023,6:38:37 PM,233
178,2/23/2023,6:38:38 PM,232
179,2/23/2023,6:38:39 PM,231
180,2/23/2023,6:38:40 PM,231
181,2/23/2023,6:38:41 PM,230
182,2/23/2023,6:38:42 PM,230
183,2/23/2023,6:38:43 PM,230
184,2/23/2023,6:38:44 PM,228
185,2/23/2023,6:38:45 PM,228
186,2/23/2023,6:38:46 PM,228
187,2/23/2023,6:38:47 PM,228
188,2/23/2023,6:38:48 PM,228
189,2/23/2023,6:38:49 PM,226
190,2/23/2023,6:38:50 PM,226
191,2/23/2023,6:38:51 PM,225
192,2/23/2023,6:38:52 PM,225
193,2/23/2023,6:38:53 PM,225
194,2/23/2023,6:38:54 PM,223
195,2/23/2023,6:38:55 PM,223
196,2/23/2023,6:38:56 PM,223
197,2/23/2023,6:38:57 PM,223
198,2/23/2023,6:38:58 PM,223
199,2/23/2023,6:38:59 PM,221
200,2/23/2023,6:39:00 PM,221
201,2/23/2023,6:39:01 PM,221
202,2/23/2023,6:39:02 PM,220
203,2/23/2023,6:39:03 PM,220
204,2/23/2023,6:39:04 PM,220
205,2/23/2023,6:39:05 PM,220
206,2/23/2023,6:39:06 PM,218
207,2/23/2023,6:39:07 PM,218
208,2/23/2023,6:39:08 PM,218
209,2/23/2023,6:39:09 PM,218
210,2/23/2023,6:39:10 PM,218
211,2/23/2023,6:39:11 PM,216
212,2/23/2023,6:39:12 PM,216
213,2/23/2023,6:39:13 PM,215
214,2/23/2023,6:39:14 PM,215
215,2/23/2023,6:39:15 PM,215
216,2/23/2023,6:39:16 PM,215
217,2/23/2023,6:39:17 PM,213
218,2/23/2023,6:39:18 PM,213
219,2/23/2023,6:39:19 PM,213
220,2/23/2023,6:39:20 PM,213
221,2/23/2023,6:39:21 PM,213
222,2/23/2023,6:39:22 PM,213
223,2/23/2023,6:39:23 PM,212
224,2/23/2023,6:39:24 PM,211
225,2/23/2023,6:39:25 PM,211
226,2/23/2023,6:39:26 PM,210
