Legend:

1-P =,Untitled 1 Process


Interval:,1,Seconds
DataPoint,LogDate,LogTime,1-P °C
0,2/23/2023,7:40:07 PM,396
1,2/23/2023,7:40:08 PM,394
2,2/23/2023,7:40:09 PM,392
3,2/23/2023,7:40:10 PM,390
4,2/23/2023,7:40:11 PM,388
5,2/23/2023,7:40:12 PM,386
6,2/23/2023,7:40:13 PM,384
7,2/23/2023,7:40:14 PM,382
8,2/23/2023,7:40:15 PM,379
9,2/23/2023,7:40:16 PM,377
10,2/23/2023,7:40:17 PM,376
11,2/23/2023,7:40:18 PM,374
12,2/23/2023,7:40:19 PM,372
13,2/23/2023,7:40:20 PM,372
14,2/23/2023,7:40:21 PM,369
15,2/23/2023,7:40:22 PM,367
16,2/23/2023,7:40:23 PM,367
17,2/23/2023,7:40:24 PM,364
18,2/23/2023,7:40:25 PM,362
19,2/23/2023,7:40:26 PM,360
20,2/23/2023,7:40:27 PM,360
21,2/23/2023,7:40:28 PM,358
22,2/23/2023,7:40:29 PM,358
23,2/23/2023,7:40:30 PM,355
24,2/23/2023,7:40:31 PM,355
25,2/23/2023,7:40:32 PM,353
26,2/23/2023,7:40:33 PM,351
27,2/23/2023,7:40:34 PM,349
28,2/23/2023,7:40:35 PM,349
29,2/23/2023,7:40:36 PM,346
30,2/23/2023,7:40:37 PM,346
31,2/23/2023,7:40:38 PM,344
32,2/23/2023,7:40:39 PM,344
33,2/23/2023,7:40:40 PM,342
34,2/23/2023,7:40:41 PM,342
35,2/23/2023,7:40:42 PM,339
36,2/23/2023,7:40:43 PM,339
37,2/23/2023,7:40:44 PM,337
38,2/23/2023,7:40:45 PM,336
39,2/23/2023,7:40:46 PM,334
40,2/23/2023,7:40:47 PM,334
41,2/23/2023,7:40:48 PM,334
42,2/23/2023,7:40:49 PM,331
43,2/23/2023,7:40:50 PM,330
44,2/23/2023,7:40:51 PM,330
45,2/23/2023,7:40:52 PM,327
46,2/23/2023,7:40:53 PM,327
47,2/23/2023,7:40:54 PM,325
48,2/23/2023,7:40:55 PM,325
49,2/23/2023,7:40:56 PM,322
50,2/23/2023,7:40:57 PM,322
51,2/23/2023,7:40:58 PM,322
52,2/23/2023,7:40:59 PM,320
53,2/23/2023,7:41:00 PM,320
54,2/23/2023,7:41:01 PM,320
55,2/23/2023,7:41:02 PM,317
56,2/23/2023,7:41:03 PM,317
57,2/23/2023,7:41:04 PM,315
58,2/23/2023,7:41:05 PM,315
59,2/23/2023,7:41:06 PM,312
60,2/23/2023,7:41:07 PM,312
61,2/23/2023,7:41:08 PM,312
62,2/23/2023,7:41:09 PM,309
63,2/23/2023,7:41:10 PM,309
64,2/23/2023,7:41:11 PM,309
65,2/23/2023,7:41:12 PM,307
66,2/23/2023,7:41:13 PM,307
67,2/23/2023,7:41:14 PM,305
68,2/23/2023,7:41:15 PM,305
69,2/23/2023,7:41:16 PM,305
70,2/23/2023,7:41:17 PM,302
71,2/23/2023,7:41:18 PM,302
72,2/23/2023,7:41:19 PM,302
73,2/23/2023,7:41:20 PM,300
74,2/23/2023,7:41:21 PM,300
75,2/23/2023,7:41:22 PM,298
76,2/23/2023,7:41:23 PM,298
77,2/23/2023,7:41:24 PM,298
78,2/23/2023,7:41:25 PM,296
79,2/23/2023,7:41:26 PM,295
80,2/23/2023,7:41:27 PM,295
81,2/23/2023,7:41:28 PM,293
82,2/23/2023,7:41:29 PM,293
83,2/23/2023,7:41:30 PM,293
84,2/23/2023,7:41:31 PM,291
85,2/23/2023,7:41:32 PM,291
86,2/23/2023,7:41:33 PM,291
87,2/23/2023,7:41:34 PM,289
88,2/23/2023,7:41:35 PM,289
89,2/23/2023,7:41:36 PM,287
90,2/23/2023,7:41:37 PM,287
91,2/23/2023,7:41:38 PM,287
92,2/23/2023,7:41:39 PM,284
93,2/23/2023,7:41:40 PM,284
94,2/23/2023,7:41:41 PM,284
95,2/23/2023,7:41:42 PM,282
96,2/23/2023,7:41:43 PM,282
97,2/23/2023,7:41:44 PM,282
98,2/23/2023,7:41:45 PM,280
99,2/23/2023,7:41:46 PM,280
100,2/23/2023,7:41:47 PM,280
101,2/23/2023,7:41:48 PM,278
102,2/23/2023,7:41:49 PM,278
103,2/23/2023,7:41:50 PM,278
104,2/23/2023,7:41:51 PM,278
105,2/23/2023,7:41:52 PM,276
106,2/23/2023,7:41:53 PM,275
107,2/23/2023,7:41:54 PM,273
108,2/23/2023,7:41:55 PM,273
109,2/23/2023,7:41:56 PM,273
110,2/23/2023,7:41:57 PM,273
111,2/23/2023,7:41:58 PM,271
112,2/23/2023,7:41:59 PM,271
113,2/23/2023,7:42:00 PM,271
114,2/23/2023,7:42:01 PM,271
115,2/23/2023,7:42:02 PM,269
116,2/23/2023,7:42:03 PM,269
117,2/23/2023,7:42:04 PM,269
118,2/23/2023,7:42:05 PM,266
119,2/23/2023,7:42:06 PM,266
120,2/23/2023,7:42:07 PM,266
121,2/23/2023,7:42:08 PM,266
122,2/23/2023,7:42:09 PM,264
123,2/23/2023,7:42:10 PM,264
124,2/23/2023,7:42:11 PM,264
125,2/23/2023,7:42:12 PM,264
126,2/23/2023,7:42:13 PM,262
127,2/23/2023,7:42:14 PM,262
128,2/23/2023,7:42:15 PM,261
129,2/23/2023,7:42:16 PM,261
130,2/23/2023,7:42:17 PM,259
131,2/23/2023,7:42:18 PM,259
132,2/23/2023,7:42:19 PM,259
133,2/23/2023,7:42:20 PM,259
134,2/23/2023,7:42:21 PM,257
135,2/23/2023,7:42:22 PM,257
136,2/23/2023,7:42:23 PM,257
137,2/23/2023,7:42:24 PM,255
138,2/23/2023,7:42:25 PM,255
139,2/23/2023,7:42:26 PM,255
140,2/23/2023,7:42:27 PM,255
141,2/23/2023,7:42:28 PM,253
142,2/23/2023,7:42:29 PM,253
143,2/23/2023,7:42:30 PM,253
144,2/23/2023,7:42:31 PM,252
145,2/23/2023,7:42:32 PM,252
146,2/23/2023,7:42:33 PM,250
147,2/23/2023,7:42:34 PM,250
148,2/23/2023,7:42:35 PM,250
149,2/23/2023,7:42:36 PM,250
150,2/23/2023,7:42:37 PM,248
151,2/23/2023,7:42:38 PM,248
152,2/23/2023,7:42:39 PM,248
153,2/23/2023,7:42:40 PM,248
154,2/23/2023,7:42:41 PM,246
155,2/23/2023,7:42:42 PM,246
156,2/23/2023,7:42:43 PM,245
157,2/23/2023,7:42:44 PM,245
158,2/23/2023,7:42:45 PM,243
159,2/23/2023,7:42:46 PM,243
160,2/23/2023,7:42:47 PM,243
