Legend:

1-P =,Untitled 1 Process


Interval:,1,Seconds
DataPoint,LogDate,LogTime,1-P °C
0,2/23/2023,7:43:07 PM,374
1,2/23/2023,7:43:08 PM,372
2,2/23/2023,7:43:09 PM,369
3,2/23/2023,7:43:10 PM,367
4,2/23/2023,7:43:11 PM,364
5,2/23/2023,7:43:12 PM,364
6,2/23/2023,7:43:13 PM,361
7,2/23/2023,7:43:14 PM,359
8,2/23/2023,7:43:15 PM,359
9,2/23/2023,7:43:16 PM,356
10,2/23/2023,7:43:17 PM,353
11,2/23/2023,7:43:18 PM,353
12,2/23/2023,7:43:19 PM,351
13,2/23/2023,7:43:20 PM,349
14,2/23/2023,7:43:21 PM,347
15,2/23/2023,7:43:22 PM,346
16,2/23/2023,7:43:23 PM,344
17,2/23/2023,7:43:24 PM,344
18,2/23/2023,7:43:25 PM,342
19,2/23/2023,7:43:26 PM,340
20,2/23/2023,7:43:27 PM,338
21,2/23/2023,7:43:28 PM,336
22,2/23/2023,7:43:29 PM,336
23,2/23/2023,7:43:30 PM,334
24,2/23/2023,7:43:31 PM,334
25,2/23/2023,7:43:32 PM,332
26,2/23/2023,7:43:33 PM,330
27,2/23/2023,7:43:34 PM,330
28,2/23/2023,7:43:35 PM,328
29,2/23/2023,7:43:36 PM,326
30,2/23/2023,7:43:37 PM,326
31,2/23/2023,7:43:38 PM,324
32,2/23/2023,7:43:39 PM,324
33,2/23/2023,7:43:40 PM,321
34,2/23/2023,7:43:41 PM,321
35,2/23/2023,7:43:42 PM,320
36,2/23/2023,7:43:43 PM,317
37,2/23/2023,7:43:44 PM,317
38,2/23/2023,7:43:45 PM,315
39,2/23/2023,7:43:46 PM,315
40,2/23/2023,7:43:47 PM,315
41,2/23/2023,7:43:48 PM,312
42,2/23/2023,7:43:49 PM,312
43,2/23/2023,7:43:50 PM,309
44,2/23/2023,7:43:51 PM,309
45,2/23/2023,7:43:52 PM,307
46,2/23/2023,7:43:53 PM,307
47,2/23/2023,7:43:54 PM,307
48,2/23/2023,7:43:55 PM,304
49,2/23/2023,7:43:56 PM,304
50,2/23/2023,7:43:57 PM,304
51,2/23/2023,7:43:58 PM,302
52,2/23/2023,7:43:59 PM,301
53,2/23/2023,7:44:00 PM,299
54,2/23/2023,7:44:01 PM,299
55,2/23/2023,7:44:02 PM,299
56,2/23/2023,7:44:03 PM,297
57,2/23/2023,7:44:04 PM,297
58,2/23/2023,7:44:05 PM,294
59,2/23/2023,7:44:06 PM,294
60,2/23/2023,7:44:07 PM,292
61,2/23/2023,7:44:08 PM,292
62,2/23/2023,7:44:09 PM,292
63,2/23/2023,7:44:10 PM,289
64,2/23/2023,7:44:11 PM,289
65,2/23/2023,7:44:12 PM,289
66,2/23/2023,7:44:13 PM,287
67,2/23/2023,7:44:14 PM,287
68,2/23/2023,7:44:15 PM,287
69,2/23/2023,7:44:16 PM,285
70,2/23/2023,7:44:17 PM,285
71,2/23/2023,7:44:18 PM,283
72,2/23/2023,7:44:19 PM,283
73,2/23/2023,7:44:20 PM,283
74,2/23/2023,7:44:21 PM,281
75,2/23/2023,7:44:22 PM,280
76,2/23/2023,7:44:23 PM,280
77,2/23/2023,7:44:24 PM,278
78,2/23/2023,7:44:25 PM,278
79,2/23/2023,7:44:26 PM,278
80,2/23/2023,7:44:27 PM,276
81,2/23/2023,7:44:28 PM,275
82,2/23/2023,7:44:29 PM,273
83,2/23/2023,7:44:30 PM,273
84,2/23/2023,7:44:31 PM,273
85,2/23/2023,7:44:32 PM,273
86,2/23/2023,7:44:33 PM,271
87,2/23/2023,7:44:34 PM,271
88,2/23/2023,7:44:35 PM,270
89,2/23/2023,7:44:36 PM,268
90,2/23/2023,7:44:37 PM,268
91,2/23/2023,7:44:38 PM,268
92,2/23/2023,7:44:39 PM,266
93,2/23/2023,7:44:40 PM,266
94,2/23/2023,7:44:41 PM,266
95,2/23/2023,7:44:42 PM,264
96,2/23/2023,7:44:43 PM,264
97,2/23/2023,7:44:44 PM,264
98,2/23/2023,7:44:45 PM,264
99,2/23/2023,7:44:46 PM,261
100,2/23/2023,7:44:47 PM,261
101,2/23/2023,7:44:48 PM,261
102,2/23/2023,7:44:49 PM,259
103,2/23/2023,7:44:50 PM,259
104,2/23/2023,7:44:51 PM,259
105,2/23/2023,7:44:52 PM,259
106,2/23/2023,7:44:53 PM,256
107,2/23/2023,7:44:54 PM,256
108,2/23/2023,7:44:55 PM,256
109,2/23/2023,7:44:56 PM,254
110,2/23/2023,7:44:57 PM,254
111,2/23/2023,7:44:58 PM,254
112,2/23/2023,7:44:59 PM,254
113,2/23/2023,7:45:00 PM,252
114,2/23/2023,7:45:01 PM,252
115,2/23/2023,7:45:02 PM,252
116,2/23/2023,7:45:03 PM,251
117,2/23/2023,7:45:04 PM,249
118,2/23/2023,7:45:05 PM,249
119,2/23/2023,7:45:06 PM,249
120,2/23/2023,7:45:07 PM,247
121,2/23/2023,7:45:08 PM,247
122,2/23/2023,7:45:09 PM,247
123,2/23/2023,7:45:10 PM,247
124,2/23/2023,7:45:11 PM,246
125,2/23/2023,7:45:12 PM,244
126,2/23/2023,7:45:13 PM,244
127,2/23/2023,7:45:14 PM,244
128,2/23/2023,7:45:15 PM,244
129,2/23/2023,7:45:16 PM,242
130,2/23/2023,7:45:17 PM,242
131,2/23/2023,7:45:18 PM,242
132,2/23/2023,7:45:19 PM,240
133,2/23/2023,7:45:20 PM,240
134,2/23/2023,7:45:21 PM,240
135,2/23/2023,7:45:22 PM,240
136,2/23/2023,7:45:23 PM,240
137,2/23/2023,7:45:24 PM,240
138,2/23/2023,7:45:25 PM,240
139,2/23/2023,7:45:26 PM,240
140,2/23/2023,7:45:27 PM,240
141,2/23/2023,7:45:28 PM,240
142,2/23/2023,7:45:29 PM,239
143,2/23/2023,7:45:30 PM,239
144,2/23/2023,7:45:31 PM,239
145,2/23/2023,7:45:32 PM,239
146,2/23/2023,7:45:33 PM,239
147,2/23/2023,7:45:34 PM,237
148,2/23/2023,7:45:35 PM,237
149,2/23/2023,7:45:36 PM,237
150,2/23/2023,7:45:37 PM,237
151,2/23/2023,7:45:38 PM,237
152,2/23/2023,7:45:39 PM,237
153,2/23/2023,7:45:40 PM,237
154,2/23/2023,7:45:41 PM,237
155,2/23/2023,7:45:42 PM,236
156,2/23/2023,7:45:43 PM,236
157,2/23/2023,7:45:44 PM,234
158,2/23/2023,7:45:45 PM,234
159,2/23/2023,7:45:46 PM,234
160,2/23/2023,7:45:47 PM,234
161,2/23/2023,7:45:48 PM,234
162,2/23/2023,7:45:49 PM,234
163,2/23/2023,7:45:50 PM,234
164,2/23/2023,7:45:51 PM,234
165,2/23/2023,7:45:52 PM,234
166,2/23/2023,7:45:53 PM,233
167,2/23/2023,7:45:54 PM,232
168,2/23/2023,7:45:55 PM,232
169,2/23/2023,7:45:56 PM,232
170,2/23/2023,7:45:57 PM,231
171,2/23/2023,7:45:58 PM,231
172,2/23/2023,7:45:59 PM,231
173,2/23/2023,7:46:00 PM,231
174,2/23/2023,7:46:01 PM,231
175,2/23/2023,7:46:02 PM,231
176,2/23/2023,7:46:03 PM,231
177,2/23/2023,7:46:04 PM,229
178,2/23/2023,7:46:05 PM,229
179,2/23/2023,7:46:06 PM,229
180,2/23/2023,7:46:07 PM,229
181,2/23/2023,7:46:08 PM,229
182,2/23/2023,7:46:09 PM,229
183,2/23/2023,7:46:10 PM,228
184,2/23/2023,7:46:11 PM,228
185,2/23/2023,7:46:12 PM,228
186,2/23/2023,7:46:13 PM,228
187,2/23/2023,7:46:14 PM,226
188,2/23/2023,7:46:15 PM,226
189,2/23/2023,7:46:16 PM,226
190,2/23/2023,7:46:17 PM,226
191,2/23/2023,7:46:18 PM,226
192,2/23/2023,7:46:19 PM,226
193,2/23/2023,7:46:20 PM,226
194,2/23/2023,7:46:21 PM,226
195,2/23/2023,7:46:22 PM,225
196,2/23/2023,7:46:23 PM,225
197,2/23/2023,7:46:24 PM,223
198,2/23/2023,7:46:25 PM,223
199,2/23/2023,7:46:26 PM,223
200,2/23/2023,7:46:27 PM,223
201,2/23/2023,7:46:28 PM,223
202,2/23/2023,7:46:29 PM,223
203,2/23/2023,7:46:30 PM,223
204,2/23/2023,7:46:31 PM,223
205,2/23/2023,7:46:32 PM,223
206,2/23/2023,7:46:33 PM,222
207,2/23/2023,7:46:34 PM,222
208,2/23/2023,7:46:35 PM,221
209,2/23/2023,7:46:36 PM,221
210,2/23/2023,7:46:37 PM,220
211,2/23/2023,7:46:38 PM,220
212,2/23/2023,7:46:39 PM,220
213,2/23/2023,7:46:40 PM,220
214,2/23/2023,7:46:41 PM,220
215,2/23/2023,7:46:42 PM,220
216,2/23/2023,7:46:43 PM,220
217,2/23/2023,7:46:44 PM,218
218,2/23/2023,7:46:45 PM,218
219,2/23/2023,7:46:46 PM,218
220,2/23/2023,7:46:47 PM,218
221,2/23/2023,7:46:48 PM,218
222,2/23/2023,7:46:49 PM,217
223,2/23/2023,7:46:50 PM,217
224,2/23/2023,7:46:51 PM,217
225,2/23/2023,7:46:52 PM,216
226,2/23/2023,7:46:53 PM,216
227,2/23/2023,7:46:54 PM,215
228,2/23/2023,7:46:55 PM,215
229,2/23/2023,7:46:56 PM,215
230,2/23/2023,7:46:57 PM,215
231,2/23/2023,7:46:58 PM,215
232,2/23/2023,7:46:59 PM,213
233,2/23/2023,7:47:00 PM,213
234,2/23/2023,7:47:01 PM,213
235,2/23/2023,7:47:02 PM,213
236,2/23/2023,7:47:03 PM,213
237,2/23/2023,7:47:04 PM,213
238,2/23/2023,7:47:05 PM,213
239,2/23/2023,7:47:06 PM,213
240,2/23/2023,7:47:07 PM,212
241,2/23/2023,7:47:08 PM,212
242,2/23/2023,7:47:09 PM,211
243,2/23/2023,7:47:10 PM,211
244,2/23/2023,7:47:11 PM,210
245,2/23/2023,7:47:12 PM,210
246,2/23/2023,7:47:13 PM,210
247,2/23/2023,7:47:14 PM,210
248,2/23/2023,7:47:15 PM,210
249,2/23/2023,7:47:16 PM,210
250,2/23/2023,7:47:17 PM,210
251,2/23/2023,7:47:18 PM,208
252,2/23/2023,7:47:19 PM,208
253,2/23/2023,7:47:20 PM,208
254,2/23/2023,7:47:21 PM,208
255,2/23/2023,7:47:22 PM,208
256,2/23/2023,7:47:23 PM,207
257,2/23/2023,7:47:24 PM,207
258,2/23/2023,7:47:25 PM,207
259,2/23/2023,7:47:26 PM,207
260,2/23/2023,7:47:27 PM,207
261,2/23/2023,7:47:28 PM,205
262,2/23/2023,7:47:29 PM,205
263,2/23/2023,7:47:30 PM,205
264,2/23/2023,7:47:31 PM,205
265,2/23/2023,7:47:32 PM,205
266,2/23/2023,7:47:33 PM,205
267,2/23/2023,7:47:34 PM,205
268,2/23/2023,7:47:35 PM,203
269,2/23/2023,7:47:36 PM,203
270,2/23/2023,7:47:37 PM,203
271,2/23/2023,7:47:38 PM,203
272,2/23/2023,7:47:39 PM,203
273,2/23/2023,7:47:40 PM,203
274,2/23/2023,7:47:41 PM,202
275,2/23/2023,7:47:42 PM,202
276,2/23/2023,7:47:43 PM,202
277,2/23/2023,7:47:44 PM,202
278,2/23/2023,7:47:45 PM,202
279,2/23/2023,7:47:46 PM,200
280,2/23/2023,7:47:47 PM,200
281,2/23/2023,7:47:48 PM,200
282,2/23/2023,7:47:49 PM,200
283,2/23/2023,7:47:50 PM,200
284,2/23/2023,7:47:51 PM,200
285,2/23/2023,7:47:52 PM,199
286,2/23/2023,7:47:53 PM,199
287,2/23/2023,7:47:54 PM,199
288,2/23/2023,7:47:55 PM,197
289,2/23/2023,7:47:56 PM,197
290,2/23/2023,7:47:57 PM,197
291,2/23/2023,7:47:58 PM,197
292,2/23/2023,7:47:59 PM,197
293,2/23/2023,7:48:00 PM,197
294,2/23/2023,7:48:01 PM,197
295,2/23/2023,7:48:02 PM,197
296,2/23/2023,7:48:03 PM,197
297,2/23/2023,7:48:04 PM,196
298,2/23/2023,7:48:05 PM,196
299,2/23/2023,7:48:06 PM,194
300,2/23/2023,7:48:07 PM,194
301,2/23/2023,7:48:08 PM,194
302,2/23/2023,7:48:09 PM,194
303,2/23/2023,7:48:10 PM,194
304,2/23/2023,7:48:11 PM,194
305,2/23/2023,7:48:12 PM,194
306,2/23/2023,7:48:13 PM,194
307,2/23/2023,7:48:14 PM,194
308,2/23/2023,7:48:15 PM,194
309,2/23/2023,7:48:16 PM,193
310,2/23/2023,7:48:17 PM,192
311,2/23/2023,7:48:18 PM,192
312,2/23/2023,7:48:19 PM,192
313,2/23/2023,7:48:20 PM,192
314,2/23/2023,7:48:21 PM,192
315,2/23/2023,7:48:22 PM,191
316,2/23/2023,7:48:23 PM,191
317,2/23/2023,7:48:24 PM,191
318,2/23/2023,7:48:25 PM,191
319,2/23/2023,7:48:26 PM,191
320,2/23/2023,7:48:27 PM,191
321,2/23/2023,7:48:28 PM,189
322,2/23/2023,7:48:29 PM,189
323,2/23/2023,7:48:30 PM,189
324,2/23/2023,7:48:31 PM,189
325,2/23/2023,7:48:32 PM,189
326,2/23/2023,7:48:33 PM,189
327,2/23/2023,7:48:34 PM,188
328,2/23/2023,7:48:35 PM,188
329,2/23/2023,7:48:36 PM,188
330,2/23/2023,7:48:37 PM,188
331,2/23/2023,7:48:38 PM,186
332,2/23/2023,7:48:39 PM,186
333,2/23/2023,7:48:40 PM,186
334,2/23/2023,7:48:41 PM,186
335,2/23/2023,7:48:42 PM,186
336,2/23/2023,7:48:43 PM,186
337,2/23/2023,7:48:44 PM,186
338,2/23/2023,7:48:45 PM,186
339,2/23/2023,7:48:46 PM,185
340,2/23/2023,7:48:47 PM,185
341,2/23/2023,7:48:48 PM,185
342,2/23/2023,7:48:49 PM,185
343,2/23/2023,7:48:50 PM,183
344,2/23/2023,7:48:51 PM,183
345,2/23/2023,7:48:52 PM,183
346,2/23/2023,7:48:53 PM,183
347,2/23/2023,7:48:54 PM,183
348,2/23/2023,7:48:55 PM,183
349,2/23/2023,7:48:56 PM,183
350,2/23/2023,7:48:57 PM,183
351,2/23/2023,7:48:58 PM,183
352,2/23/2023,7:48:59 PM,182
353,2/23/2023,7:49:00 PM,182
354,2/23/2023,7:49:01 PM,181
355,2/23/2023,7:49:02 PM,181
356,2/23/2023,7:49:03 PM,180
357,2/23/2023,7:49:04 PM,180
358,2/23/2023,7:49:05 PM,180
359,2/23/2023,7:49:06 PM,180
360,2/23/2023,7:49:07 PM,180
361,2/23/2023,7:49:08 PM,180
362,2/23/2023,7:49:09 PM,180
363,2/23/2023,7:49:10 PM,180
364,2/23/2023,7:49:11 PM,180
365,2/23/2023,7:49:12 PM,178
